PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,,pts_diff,fg_pct_diff,ft_pct_diff,fg3_pct_diff,ast_diff,reb_diff
112,0.489,0.938,0.423,27,45,1610612740,106,0.512,0.789,0.292,25,34,1,,6,-0.023,0.149,0.131,2,11
113,0.411,0.767,0.343,22,44,1610612749,126,0.506,0.714,0.474,25,53,0,,-13,-0.095,0.053,-0.131,-3,-9
128,0.472,0.931,0.5,29,53,1610612760,101,0.389,0.857,0.333,24,40,1,,27,0.083,0.074,0.167,5,13
114,0.476,0.75,0.457,28,38,1610612742,122,0.565,0.875,0.5,29,34,0,,-8,-0.089,-0.125,-0.043,-1,4
106,0.393,0.743,0.326,25,49,1610612761,114,0.433,0.692,0.3,24,55,0,,-8,-0.04,0.051,0.026,1,-6
114,0.449,0.684,0.325,29,59,1610612754,92,0.393,0.64,0.286,20,45,1,,22,0.056,0.044,0.039,9,14
124,0.543,0.688,0.483,28,32,1610612743,121,0.584,0.783,0.565,27,35,1,,3,-0.041,-0.095,-0.082,1,-3
121,0.512,0.773,0.462,25,43,1610612764,103,0.413,0.818,0.25,23,44,1,,18,0.099,-0.045,0.212,2,-1
108,0.479,0.758,0.385,25,40,1610612763,99,0.407,0.688,0.333,24,42,1,,9,0.072,0.07,0.052,1,-2
113,0.438,0.773,0.4,30,48,1610612759,122,0.449,0.969,0.393,22,51,0,,-9,-0.011,-0.196,0.007,8,-3
122,0.441,0.833,0.3,32,54,1610612753,119,0.402,0.846,0.319,24,52,1,,3,0.039,-0.013,-0.019,8,2
124,0.473,0.931,0.314,19,41,1610612755,121,0.485,0.765,0.467,24,48,1,,3,-0.012,0.166,-0.153,-5,-7
112,0.471,0.87,0.27,29,41,1610612745,129,0.473,0.833,0.316,21,48,0,,-17,-0.002,0.037,-0.046,8,-7
120,0.484,0.85,0.361,23,39,1610612751,129,0.553,0.789,0.465,32,46,0,,-9,-0.069,0.061,-0.104,-9,-7
117,0.489,0.706,0.395,24,41,1610612746,122,0.494,0.821,0.441,24,45,0,,-5,-0.005,-0.115,-0.046,0,-4
